Requirement,Applicable,State,Justification,Control,Test,Evidence,Owner
v5.0.0-V1.1.1,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.1.2,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.2.1,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.2.2,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.2.3,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.2.4,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.2.5,Não,N/A,"Não existe interpretador/comando OS, LDAP, XPath, LaTeX ou regex construída por entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.2.6,Não,N/A,"Não existe interpretador/comando OS, LDAP, XPath, LaTeX ou regex construída por entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.2.7,Não,N/A,"Não existe interpretador/comando OS, LDAP, XPath, LaTeX ou regex construída por entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.2.8,Não,N/A,"Não existe interpretador/comando OS, LDAP, XPath, LaTeX ou regex construída por entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.2.9,Não,N/A,"Não existe interpretador/comando OS, LDAP, XPath, LaTeX ou regex construída por entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.3.1,Não,N/A,"Não existe WYSIWYG, execução dinâmica, SVG/template scriptável, URL externa, JNDI, memcache ou e-mail.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.3.2,Não,N/A,"Não existe WYSIWYG, execução dinâmica, SVG/template scriptável, URL externa, JNDI, memcache ou e-mail.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.3.3,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.3.4,Não,N/A,"Não existe WYSIWYG, execução dinâmica, SVG/template scriptável, URL externa, JNDI, memcache ou e-mail.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.3.5,Não,N/A,"Não existe WYSIWYG, execução dinâmica, SVG/template scriptável, URL externa, JNDI, memcache ou e-mail.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.3.6,Não,N/A,"Não existe WYSIWYG, execução dinâmica, SVG/template scriptável, URL externa, JNDI, memcache ou e-mail.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.3.7,Não,N/A,"Não existe WYSIWYG, execução dinâmica, SVG/template scriptável, URL externa, JNDI, memcache ou e-mail.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.3.8,Não,N/A,"Não existe WYSIWYG, execução dinâmica, SVG/template scriptável, URL externa, JNDI, memcache ou e-mail.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.3.9,Não,N/A,"Não existe WYSIWYG, execução dinâmica, SVG/template scriptável, URL externa, JNDI, memcache ou e-mail.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.3.10,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.3.11,Não,N/A,"Não existe WYSIWYG, execução dinâmica, SVG/template scriptável, URL externa, JNDI, memcache ou e-mail.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.4.1,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.4.2,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.4.3,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V1.5.1,Não,N/A,A aplicação aceita JSON; não há parser XML.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V1.5.2,Sim,Pass,"Decodificação, serialização segura, Joi/allowlists e runtime gerenciado cobrem o requisito.","Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V2.1.1,Sim,Pass,Regras e limites estão documentados e são aplicados no serviço confiável com testes negativos.,"Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V2.1.2,Sim,Pass,Regras e limites estão documentados e são aplicados no serviço confiável com testes negativos.,"Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V2.1.3,Sim,Pass,Regras e limites estão documentados e são aplicados no serviço confiável com testes negativos.,"Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V2.2.1,Sim,Pass,Regras e limites estão documentados e são aplicados no serviço confiável com testes negativos.,"Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V2.2.2,Sim,Pass,Regras e limites estão documentados e são aplicados no serviço confiável com testes negativos.,"Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V2.2.3,Sim,Pass,Regras e limites estão documentados e são aplicados no serviço confiável com testes negativos.,"Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V2.3.1,Sim,Pass,Regras e limites estão documentados e são aplicados no serviço confiável com testes negativos.,"Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V2.3.2,Sim,Pass,Regras e limites estão documentados e são aplicados no serviço confiável com testes negativos.,"Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V2.3.3,Sim,Pass,Regras e limites estão documentados e são aplicados no serviço confiável com testes negativos.,"Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V2.3.4,Não,N/A,O domínio não possui estoque ou recurso de quantidade limitada sujeito a double booking.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V2.4.1,Sim,Pass,Regras e limites estão documentados e são aplicados no serviço confiável com testes negativos.,"Joi allowlists, repositories Mongoose e parse MQTT antes de side effects",appSecurity.test.js; routes/*.test.js; mqttService.test.js,99d8846; services/api/src/middleware/validate.js; services/api/src/services/mqttService.js,Projeto
v5.0.0-V3.2.1,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.2.2,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.3.1,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.3.2,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.3.3,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.3.4,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.4.1,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.4.2,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.4.3,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.4.4,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
